County,LSOA,gini
GREATER LONDON,E01000001,0.21654327545566215
GREATER LONDON,E01000002,0.22435326376743364
GREATER LONDON,E01000003,0.23050727256921405
GREATER LONDON,E01000005,0.631698990796518
GREATER LONDON,E01000006,0.26144465290806757
GREATER LONDON,E01000007,0.735784596248955
GREATER LONDON,E01000008,0.07825759422152305
GREATER LONDON,E01000009,0.22139580336056897
GREATER LONDON,E01000011,0.11128583524857869
GREATER LONDON,E01000012,0.15135552185596085
GREATER LONDON,E01000013,0.12105711849957375
GREATER LONDON,E01000014,0.07845728703592454
GREATER LONDON,E01000015,0.16644452052924144
GREATER LONDON,E01000016,0.06023706896551724
GREATER LONDON,E01000017,0.04950847298942047
GREATER LONDON,E01000018,0.04941670379458398
GREATER LONDON,E01000019,0.13594196833368208
GREATER LONDON,E01000020,0.13664587664587666
GREATER LONDON,E01000021,0.15691818729793414
GREATER LONDON,E01000022,0.10118856408609059
GREATER LONDON,E01000024,0.06910536460006425
GREATER LONDON,E01000025,0.10583437024747684
GREATER LONDON,E01000027,0.22195844606262352
GREATER LONDON,E01000028,0.14071229759655432
GREATER LONDON,E01000029,0.19243736639518666
GREATER LONDON,E01000030,0.15341005376592565
GREATER LONDON,E01000031,0.175382813153711
GREATER LONDON,E01000032,0.20696699956050466
GREATER LONDON,E01000033,0.18434718100890207
GREATER LONDON,E01000034,0.11821243444477131
GREATER LONDON,E01000035,0.20915491224862293
GREATER LONDON,E01000036,0.06863900516113301
GREATER LONDON,E01000037,0.09922489771912577
GREATER LONDON,E01000038,0.18160763712365136
GREATER LONDON,E01000039,0.11015762757146674
GREATER LONDON,E01000040,0.11471389645776567
GREATER LONDON,E01000041,0.1033162643257742
GREATER LONDON,E01000042,0.16504396311387518
GREATER LONDON,E01000043,0.2518010632483728
GREATER LONDON,E01000044,0.11765611107311401
GREATER LONDON,E01000045,0.08864323734055995
GREATER LONDON,E01000046,0.03339034587609274
GREATER LONDON,E01000049,0.18103618083291773
GREATER LONDON,E01000050,0.1723024749730981
GREATER LONDON,E01000051,0.25258931251876315
GREATER LONDON,E01000052,0.11793076747081893
GREATER LONDON,E01000053,0.21806978769004082
GREATER LONDON,E01000054,0.05961260908857925
GREATER LONDON,E01000055,0.07020218192314111
GREATER LONDON,E01000056,0.18003441618400068
GREATER LONDON,E01000057,0.06818843456398041
GREATER LONDON,E01000058,0.0830298300381547
GREATER LONDON,E01000059,0.10465799001859281
GREATER LONDON,E01000060,0.10952232467667454
GREATER LONDON,E01000061,0.11436170212765957
GREATER LONDON,E01000062,0.1042771284060854
GREATER LONDON,E01000063,0.09400161030595813
GREATER LONDON,E01000064,0.1346935099287519
GREATER LONDON,E01000065,0.0851281124671519
GREATER LONDON,E01000066,0.16490747745475942
GREATER LONDON,E01000067,0.2194274270389369
GREATER LONDON,E01000068,0.1512304250559284
GREATER LONDON,E01000069,0.08120553509626889
GREATER LONDON,E01000070,0.19210454071267777
GREATER LONDON,E01000071,0.1855672163918041
GREATER LONDON,E01000072,0.19453271514898937
GREATER LONDON,E01000073,0.0957266765390311
GREATER LONDON,E01000074,0.07478900746320709
GREATER LONDON,E01000075,0.08265704130099714
GREATER LONDON,E01000076,0.06799657247951847
GREATER LONDON,E01000077,0.02986722174914057
GREATER LONDON,E01000078,0.3254610527015727
GREATER LONDON,E01000079,0.07487070027091372
GREATER LONDON,E01000080,0.07181437389770723
GREATER LONDON,E01000081,0.0827466258522332
GREATER LONDON,E01000082,0.09331882807517725
GREATER LONDON,E01000083,0.09421182266009852
GREATER LONDON,E01000084,0.04290952502771382
GREATER LONDON,E01000085,0.10442648574944294
GREATER LONDON,E01000086,0.05512514898688915
GREATER LONDON,E01000087,0.12389564494335308
GREATER LONDON,E01000088,0.14700157022800653
GREATER LONDON,E01000089,0.11327521627591103
GREATER LONDON,E01000090,0.10262771265356274
GREATER LONDON,E01000091,0.18354288280197575
GREATER LONDON,E01000093,0.5139052095573835
GREATER LONDON,E01000094,0.10625937930575471
GREATER LONDON,E01000095,0.8800229604289754
GREATER LONDON,E01000096,0.21874126635573382
GREATER LONDON,E01000097,0.052407704654895665
GREATER LONDON,E01000098,0.14519752855270548
GREATER LONDON,E01000099,0.20985310002666283
GREATER LONDON,E01000100,0.13567269027358633
GREATER LONDON,E01000101,0.05930518350777388
GREATER LONDON,E01000102,0.08780943649058466
GREATER LONDON,E01000103,0.13981110173068806
GREATER LONDON,E01000104,0.5503753039433343
GREATER LONDON,E01000105,0.17359719438877755
GREATER LONDON,E01000106,0.20824722619290723
GREATER LONDON,E01000107,0.1508927201105029
GREATER LONDON,E01000108,0.20160408458631504
GREATER LONDON,E01000110,0.10774559891178843
GREATER LONDON,E01000111,0.1538335311761541
GREATER LONDON,E01000112,0.32571294460250405
GREATER LONDON,E01000113,0.16344118793136075
GREATER LONDON,E01000114,0.12005143207662908
GREATER LONDON,E01000115,0.10518095396718703
GREATER LONDON,E01000116,0.2812801315045834
GREATER LONDON,E01000117,0.20393587452848919
GREATER LONDON,E01000118,0.18303627983122034
GREATER LONDON,E01000119,0.09910591569252568
GREATER LONDON,E01000120,0.0650107005886725
GREATER LONDON,E01000121,0.14021796088080288
GREATER LONDON,E01000122,0.15507866777088725
GREATER LONDON,E01000123,0.128733897013463
GREATER LONDON,E01000124,0.36966994527783914
GREATER LONDON,E01000126,0.18717717083263516
GREATER LONDON,E01000127,0.13085762828906405
GREATER LONDON,E01000128,0.12177143884460957
GREATER LONDON,E01000129,0.3139671954464316
GREATER LONDON,E01000130,0.04576659038901602
