StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept,StopCount_z,EthnicMinority_z,MeanHousePrice_z,CrimeSum_z,DrugCrimeSum_z,IncomeDomainScore_z,gini
127.0,111.0,E01006434,Knowsley,1518,1.91,0.361,228.0,23.0,123955.0,Merseyside,0.574,-0.673,-0.769,0.151,0.382,1.237,0.1109044408277144
98.0,83.0,E01006435,Knowsley,1524,3.35,0.37,149.0,18.0,134664.0,Merseyside,0.345,-0.505,-0.66,-0.146,0.204,1.307,0.2193797934858395
373.0,326.0,E01006436,Knowsley,1457,3.29,0.384,307.0,58.0,111733.0,Merseyside,2.511,-0.512,-0.893,0.449,1.629,1.416,0.1397403379046472
534.0,434.0,E01006437,Knowsley,1387,3.03,0.326,921.0,72.0,119648.0,Merseyside,3.779,-0.542,-0.813,2.759,2.128,0.966,0.5948272108570127
38.0,32.0,E01006438,Knowsley,1153,5.29,0.099,91.0,7.0,331221.0,Merseyside,-0.127,-0.279,1.342,-0.364,-0.188,-0.796,0.2474593495934959
10.0,8.0,E01006439,Knowsley,1657,2.96,0.22,153.0,3.0,240177.0,Merseyside,-0.348,-0.551,0.415,-0.131,-0.33,0.143,0.1811228880328495
95.0,70.0,E01006440,Knowsley,1400,3.64,0.422,220.0,14.0,129103.0,Merseyside,0.322,-0.471,-0.716,0.121,0.062,1.71,0.3451973077129621
140.0,118.0,E01006442,Knowsley,1481,2.77,0.394,195.0,35.0,138375.0,Merseyside,0.676,-0.573,-0.622,0.027,0.81,1.493,0.1500764894486473
137.0,115.0,E01006443,Knowsley,1469,3.54,0.433,189.0,27.0,125261.0,Merseyside,0.652,-0.483,-0.755,0.005,0.525,1.796,0.4243992692331142
132.0,106.0,E01006444,Knowsley,1385,7.08,0.412,228.0,21.0,108152.0,Merseyside,0.613,-0.07,-0.93,0.151,0.311,1.633,0.3418783111936964
74.0,60.0,E01006445,Knowsley,1266,5.37,0.406,240.0,19.0,199442.68397291197,Merseyside,0.156,-0.27,0.0,0.196,0.24,1.586,0.4704867446184082
142.0,114.0,E01006446,Knowsley,1451,2.76,0.408,280.0,25.0,127475.0,Merseyside,0.692,-0.574,-0.733,0.347,0.453,1.602,0.4815426747844193
246.0,215.0,E01006447,Knowsley,1382,5.14,0.415,248.0,45.0,105992.0,Merseyside,1.511,-0.296,-0.952,0.227,1.166,1.656,0.2057801184990125
135.0,125.0,E01006448,Knowsley,2156,4.55,0.519,240.0,23.0,106469.0,Merseyside,0.637,-0.365,-0.947,0.196,0.382,2.463,0.138585903503478
17.0,11.0,E01006449,Knowsley,1595,3.57,0.2,81.0,3.0,179895.0,Merseyside,-0.293,-0.479,-0.199,-0.402,-0.33,-0.012,0.1503227819710179
89.0,72.0,E01006450,Knowsley,1713,9.46,0.35,214.0,21.0,163720.0,Merseyside,0.274,0.207,-0.364,0.099,0.311,1.152,0.3377628428143034
40.0,11.0,E01006451,Knowsley,1417,2.82,0.259,111.0,1.0,164666.0,Merseyside,-0.112,-0.567,-0.354,-0.289,-0.402,0.446,0.1906748809857182
34.0,32.0,E01006452,Knowsley,1409,3.76,0.228,147.0,3.0,128364.0,Merseyside,-0.159,-0.457,-0.724,-0.153,-0.33,0.205,0.1315822079048445
56.0,43.0,E01006453,Knowsley,1183,4.65,0.421,161.0,10.0,106003.0,Merseyside,0.014,-0.354,-0.952,-0.101,-0.081,1.703,0.0851975627948427
16.0,16.0,E01006454,Knowsley,1546,2.78,0.143,69.0,11.0,188906.0,Merseyside,-0.301,-0.572,-0.107,-0.447,-0.045,-0.454,0.161877359453117
337.0,302.0,E01006455,Knowsley,1753,3.99,0.431,305.0,62.0,110390.0,Merseyside,2.227,-0.43,-0.907,0.441,1.772,1.78,0.165189761694616
97.0,77.0,E01006456,Knowsley,1521,2.43,0.19,138.0,16.0,205060.0,Merseyside,0.337,-0.612,0.057,-0.187,0.133,-0.09,0.3421891137627178
79.0,68.0,E01006457,Knowsley,1248,1.28,0.14,91.0,10.0,174469.0,Merseyside,0.196,-0.746,-0.254,-0.364,-0.081,-0.478,0.0848220931963674
59.0,46.0,E01006458,Knowsley,1548,4.26,0.298,133.0,15.0,158434.0,Merseyside,0.038,-0.399,-0.418,-0.206,0.097,0.748,0.1790304284166932
26.0,14.0,E01006459,Knowsley,1635,10.76,0.156,159.0,4.0,168079.0,Merseyside,-0.222,0.358,-0.319,-0.108,-0.295,-0.353,0.1713676272233373
91.0,63.0,E01006460,Knowsley,1534,7.37,0.427,278.0,24.0,109062.0,Merseyside,0.29,-0.037,-0.92,0.339,0.418,1.749,0.388139609392
44.0,38.0,E01006461,Knowsley,1441,4.79,0.317,207.0,16.0,137134.0,Merseyside,-0.08,-0.337,-0.635,0.072,0.133,0.896,0.0898617511520737
18.0,14.0,E01006462,Knowsley,1703,2.99,0.116,71.0,0.0,172176.0,Merseyside,-0.285,-0.547,-0.278,-0.439,-0.437,-0.664,0.163275618402457
78.0,55.0,E01006464,Knowsley,2668,5.77,0.184,334.0,17.0,216505.0,Merseyside,0.188,-0.223,0.174,0.55,0.168,-0.136,0.1377802557872683
52.0,44.0,E01006465,Knowsley,1579,7.73,0.096,79.0,14.0,245443.0,Merseyside,-0.017,0.005,0.468,-0.409,0.062,-0.819,0.1713881820174197
15.0,10.0,E01006466,Knowsley,1489,3.09,0.17,115.0,6.0,141024.0,Merseyside,-0.308,-0.535,-0.595,-0.274,-0.223,-0.245,0.177297794259171
59.0,45.0,E01006467,Knowsley,1304,5.67,0.427,192.0,10.0,113000.0,Merseyside,0.038,-0.235,-0.88,0.016,-0.081,1.749,0.0951293759512937
96.0,80.0,E01006470,Knowsley,1414,5.16,0.392,198.0,22.0,106711.0,Merseyside,0.329,-0.294,-0.944,0.038,0.347,1.478,0.0865026099925428
10.0,7.0,E01006471,Knowsley,1465,2.46,0.061,62.0,1.0,213611.0,Merseyside,-0.348,-0.609,0.144,-0.473,-0.402,-1.091,0.1351784090278341
26.0,19.0,E01006472,Knowsley,1505,6.31,0.074,125.0,6.0,287869.0,Merseyside,-0.222,-0.16,0.901,-0.236,-0.223,-0.99,0.1571850117096018
61.0,29.0,E01006473,Knowsley,1613,4.09,0.064,81.0,3.0,306964.0,Merseyside,0.054,-0.419,1.095,-0.402,-0.33,-1.067,0.1134819562590083
29.0,13.0,E01006474,Knowsley,1926,3.74,0.115,271.0,19.0,207025.0,Merseyside,-0.198,-0.46,0.077,0.313,0.24,-0.672,0.2842046359950089
47.0,30.0,E01006475,Knowsley,1431,3.77,0.122,85.0,6.0,271521.0,Merseyside,-0.056,-0.456,0.734,-0.387,-0.223,-0.617,0.1997639847523962
3.0,2.0,E01006476,Knowsley,1406,3.49,0.06,29.0,0.0,222472.0,Merseyside,-0.403,-0.489,0.235,-0.597,-0.437,-1.098,0.2629116941048703
34.0,31.0,E01006477,Knowsley,1461,4.45,0.274,188.0,8.0,140680.0,Merseyside,-0.159,-0.377,-0.598,0.001,-0.152,0.562,0.4244828349125474
80.0,60.0,E01006478,Knowsley,1834,3.27,0.363,233.0,18.0,180463.0,Merseyside,0.203,-0.514,-0.193,0.17,0.204,1.253,0.449170481028788
54.0,50.0,E01006479,Knowsley,1441,3.12,0.266,113.0,9.0,164284.0,Merseyside,-0.001,-0.532,-0.358,-0.281,-0.117,0.5,0.2490513426380183
26.0,23.0,E01006480,Knowsley,1408,3.84,0.413,93.0,9.0,127668.0,Merseyside,-0.222,-0.448,-0.731,-0.357,-0.117,1.641,0.0906483911733255
200.0,139.0,E01006481,Knowsley,1359,1.77,0.286,436.0,11.0,153006.0,Merseyside,1.148,-0.689,-0.473,0.934,-0.045,0.655,0.4667883641502767
220.0,155.0,E01006482,Knowsley,1503,4.39,0.239,214.0,31.0,173045.0,Merseyside,1.306,-0.384,-0.269,0.099,0.667,0.291,0.2049035354848293
36.0,28.0,E01006483,Knowsley,1463,2.8,0.314,180.0,13.0,127887.0,Merseyside,-0.143,-0.569,-0.729,-0.029,0.026,0.872,0.1363097316218063
63.0,55.0,E01006484,Knowsley,1301,4.61,0.297,88.0,19.0,156688.0,Merseyside,0.07,-0.358,-0.435,-0.375,0.24,0.741,0.2246000636041045
8.0,2.0,E01006485,Knowsley,1834,4.8,0.143,86.0,1.0,207958.0,Merseyside,-0.364,-0.336,0.087,-0.383,-0.402,-0.454,0.1540183907337575
19.0,12.0,E01006486,Knowsley,1138,2.28,0.112,65.0,4.0,190714.0,Merseyside,-0.277,-0.63,-0.089,-0.462,-0.295,-0.695,0.1342754287318454
3.0,3.0,E01006487,Knowsley,1452,2.34,0.098,62.0,2.0,184996.0,Merseyside,-0.403,-0.623,-0.147,-0.473,-0.366,-0.803,0.0873856958228681
58.0,31.0,E01006412,Knowsley,1582,6.83,0.466,144.0,6.0,103866.0,Merseyside,0.03,-0.1,-0.973,-0.165,-0.223,2.052,0.0780433159073935
29.0,20.0,E01006413,Knowsley,1421,4.64,0.462,198.0,8.0,199442.68397291197,Merseyside,-0.198,-0.355,0.0,0.038,-0.152,2.021,0.1111111111111111
27.0,15.0,E01006414,Knowsley,1375,4.58,0.335,203.0,8.0,96313.0,Merseyside,-0.214,-0.362,-1.05,0.057,-0.152,1.035,0.1592971516471718
205.0,174.0,E01006415,Knowsley,1988,4.12,0.247,200.0,20.0,168136.0,Merseyside,1.188,-0.415,-0.319,0.046,0.275,0.353,0.2262664452675948
49.0,45.0,E01006416,Knowsley,1515,3.56,0.376,140.0,15.0,98983.0,Merseyside,-0.041,-0.481,-1.023,-0.18,0.097,1.354,0.1305312016503352
97.0,77.0,E01006417,Knowsley,1259,4.85,0.418,205.0,26.0,112493.0,Merseyside,0.337,-0.33,-0.885,0.065,0.489,1.679,0.2708021138011284
76.0,64.0,E01006418,Knowsley,1313,2.06,0.345,227.0,26.0,101890.0,Merseyside,0.172,-0.655,-0.993,0.148,0.489,1.113,0.2309650824442289
8.0,6.0,E01006419,Knowsley,1387,3.53,0.074,51.0,3.0,185271.0,Merseyside,-0.364,-0.484,-0.144,-0.515,-0.33,-0.99,0.1287890453891553
54.0,46.0,E01006420,Knowsley,2409,8.05,0.07,168.0,7.0,280890.0,Merseyside,-0.001,0.043,0.829,-0.074,-0.188,-1.021,0.1835049761144533
6.0,4.0,E01006421,Knowsley,1118,5.37,0.058,28.0,6.0,257306.0,Merseyside,-0.379,-0.27,0.589,-0.601,-0.223,-1.114,0.2083908839779005
18.0,13.0,E01006422,Knowsley,1251,2.72,0.105,51.0,5.0,213456.0,Merseyside,-0.285,-0.579,0.143,-0.515,-0.259,-0.749,0.0937691525676489
0.0,0.0,E01006423,Knowsley,1331,2.78,0.054,70.0,2.0,187484.0,Merseyside,-0.427,-0.572,-0.122,-0.443,-0.366,-1.145,0.1027954596955276
41.0,31.0,E01006424,Knowsley,1923,3.22,0.065,204.0,16.0,207690.0,Merseyside,-0.104,-0.52,0.084,0.061,0.133,-1.06,0.3526838640665175
25.0,12.0,E01006425,Knowsley,1276,6.66,0.163,83.0,3.0,247892.0,Merseyside,-0.23,-0.119,0.493,-0.394,-0.33,-0.299,0.1714063020931888
61.0,39.0,E01006426,Knowsley,1352,5.55,0.367,289.0,9.0,146068.0,Merseyside,0.054,-0.249,-0.544,0.381,-0.117,1.284,0.0929272545534492
19.0,13.0,E01006427,Knowsley,1432,5.17,0.123,84.0,3.0,205155.0,Merseyside,-0.277,-0.293,0.058,-0.39,-0.33,-0.61,0.1598512416012676
35.0,23.0,E01006428,Knowsley,1568,4.08,0.277,125.0,13.0,155596.0,Merseyside,-0.151,-0.42,-0.447,-0.236,0.026,0.585,0.8137702766762459
47.0,38.0,E01006429,Knowsley,1125,4.98,0.373,154.0,17.0,163027.0,Merseyside,-0.056,-0.315,-0.371,-0.127,0.168,1.33,0.1474065794770335
29.0,24.0,E01006430,Knowsley,1525,5.84,0.364,168.0,13.0,152053.0,Merseyside,-0.198,-0.215,-0.483,-0.074,0.026,1.26,0.1564949789439585
20.0,19.0,E01006431,Knowsley,1841,5.92,0.18,260.0,12.0,168565.0,Merseyside,-0.269,-0.206,-0.314,0.272,-0.01,-0.167,0.2459973566164946
7.0,7.0,E01006432,Knowsley,1564,5.12,0.339,171.0,11.0,142685.0,Merseyside,-0.371,-0.299,-0.578,-0.063,-0.045,1.066,0.1879546652609383
4.0,0.0,E01006433,Knowsley,1578,6.65,0.191,112.0,6.0,185193.0,Merseyside,-0.395,-0.121,-0.145,-0.285,-0.223,-0.082,0.1187543528007163
72.0,55.0,E01033747,Liverpool,1931,19.16,0.377,221.0,15.0,162675.0,Merseyside,0.14,1.337,-0.374,0.125,0.097,1.361,0.1484308895699753
23.0,15.0,E01033748,Liverpool,1203,15.46,0.06,127.0,9.0,150290.0,Merseyside,-0.245,0.906,-0.501,-0.229,-0.117,-1.098,0.1268345026920495
123.0,91.0,E01033750,Liverpool,2186,18.21,0.035,446.0,42.0,189197.0,Merseyside,0.542,1.227,-0.104,0.972,1.059,-1.292,0.1922438472730221
681.0,615.0,E01033751,Liverpool,2486,16.41,0.155,479.0,57.0,201071.0,Merseyside,4.936,1.017,0.017,1.096,1.593,-0.361,0.134981176010674
2198.0,1733.0,E01033756,Liverpool,1018,23.97,0.024,4522.0,565.0,252274.0,Merseyside,16.883,1.898,0.538,16.307,19.692,-1.378,0.5324031165589753
13.0,9.0,E01033757,Liverpool,1318,43.32,0.138,117.0,5.0,146620.0,Merseyside,-0.324,4.153,-0.538,-0.266,-0.259,-0.493,0.2334886047695287
254.0,231.0,E01033758,Liverpool,1960,44.23,0.073,536.0,55.0,84226.0,Merseyside,1.574,4.259,-1.173,1.31,1.522,-0.997,0.9021457483427948
1738.0,1351.0,E01033760,Liverpool,2479,16.86,0.024,5067.0,453.0,128870.0,Merseyside,13.26,1.069,-0.719,18.357,15.702,-1.378,0.8188769174165081
1043.0,867.0,E01033761,Liverpool,2160,25.19,0.026,1246.0,203.0,127214.0,Merseyside,7.787,2.04,-0.736,3.981,6.795,-1.362,0.64444973243847
183.0,154.0,E01033762,Liverpool,3678,23.11,0.081,823.0,69.0,92601.0,Merseyside,1.015,1.798,-1.088,2.39,2.021,-0.935,0.3213056088360199
127.0,101.0,E01033763,Liverpool,2469,37.99,0.375,367.0,40.0,204316.0,Merseyside,0.574,3.532,0.05,0.674,0.988,1.346,0.2312581080886213
36.0,26.0,E01033765,Liverpool,1499,17.81,0.362,153.0,14.0,225470.0,Merseyside,-0.143,1.18,0.265,-0.131,0.062,1.245,0.2886093442374678
21.0,19.0,E01033767,Liverpool,1009,15.36,0.396,73.0,8.0,125336.0,Merseyside,-0.261,0.895,-0.755,-0.432,-0.152,1.509,0.0964054636951833
83.0,68.0,E01033768,Liverpool,1134,31.31,0.273,286.0,28.0,182592.0,Merseyside,0.227,2.753,-0.172,0.37,0.56,0.554,0.2256453478467484
95.0,60.0,E01034396,Liverpool,1852,18.47,0.2015556805399325,1.0,0.0,199442.68397291197,Merseyside,0.322,1.257,0.0,-0.703,-0.437,0.0,0.1418418004302498
7.0,1.0,E01034397,Liverpool,1841,20.59,0.2015556805399325,3.0,0.0,199442.68397291197,Merseyside,-0.371,1.504,0.0,-0.695,-0.437,0.0,0.1451857859123199
39.0,35.0,E01034398,Liverpool,1144,16.78,0.2015556805399325,1.0,0.0,199442.68397291197,Merseyside,-0.119,1.06,0.0,-0.703,-0.437,0.0,0.0487241958864665
267.0,220.0,E01034399,Liverpool,1078,18.83,0.2015556805399325,3.0,2.0,199442.68397291197,Merseyside,1.676,1.299,0.0,-0.695,-0.366,0.0,0.3758747437619283
302.0,277.0,E01034400,Liverpool,1070,15.7,0.2015556805399325,9.0,1.0,199442.68397291197,Merseyside,1.952,0.934,0.0,-0.673,-0.402,0.0,0.5154366448644658
283.0,216.0,E01034401,Liverpool,3789,52.92,0.2015556805399325,19.0,7.0,199442.68397291197,Merseyside,1.802,5.272,0.0,-0.635,-0.188,0.0,0.3195962370442675
3.0,3.0,E01034402,Liverpool,1098,22.68,0.2015556805399325,1.0,0.0,199442.68397291197,Merseyside,-0.403,1.748,0.0,-0.703,-0.437,0.0,0.6471861126618285
147.0,123.0,E01034403,Liverpool,1233,31.87,0.2015556805399325,3.0,1.0,199442.68397291197,Merseyside,0.731,2.819,0.0,-0.695,-0.402,0.0,0.2253531038104475
15.0,10.0,E01034404,Liverpool,2191,12.19,0.2015556805399325,1.0,0.0,199442.68397291197,Merseyside,-0.308,0.525,0.0,-0.703,-0.437,0.0,0.1049572917042796
175.0,145.0,E01034405,Liverpool,2400,32.04,0.2015556805399325,11.0,4.0,199442.68397291197,Merseyside,0.952,2.838,0.0,-0.665,-0.295,0.0,0.6956644058517596
574.0,460.0,E01034406,Liverpool,1458,21.06,0.2015556805399325,7.0,0.0,199442.68397291197,Merseyside,4.094,1.559,0.0,-0.68,-0.437,0.0,0.5945890956560578
22.0,17.0,E01034407,Liverpool,1250,22.0,0.2015556805399325,2.0,1.0,199442.68397291197,Merseyside,-0.253,1.668,0.0,-0.699,-0.402,0.0,0.0450919443737169
181.0,167.0,E01034408,Liverpool,1286,21.23,0.2015556805399325,9.0,3.0,199442.68397291197,Merseyside,0.999,1.579,0.0,-0.673,-0.33,0.0,0.3919602172905953
232.0,184.0,E01034409,Liverpool,2038,19.82,0.2015556805399325,6.0,2.0,199442.68397291197,Merseyside,1.4,1.414,0.0,-0.684,-0.366,0.0,0.7982391997599337
291.0,243.0,E01034410,Liverpool,1027,25.12,0.2015556805399325,9.0,0.0,199442.68397291197,Merseyside,1.865,2.032,0.0,-0.673,-0.437,0.0,0.3755443618566941
274.0,145.0,E01034411,Liverpool,1121,33.36,0.2015556805399325,9.0,2.0,199442.68397291197,Merseyside,1.731,2.992,0.0,-0.673,-0.366,0.0,0.3313611219266522
4.0,3.0,E01006802,St. Helens,1590,1.82,0.117,155.0,5.0,231963.0,Merseyside,-0.395,-0.683,0.331,-0.123,-0.259,-0.656,0.5744898104872088
18.0,15.0,E01006803,St. Helens,1400,1.36,0.064,89.0,9.0,215301.0,Merseyside,-0.285,-0.737,0.162,-0.372,-0.117,-1.067,0.2240328609570753
4.0,3.0,E01006804,St. Helens,1511,2.25,0.127,51.0,1.0,224719.0,Merseyside,-0.395,-0.633,0.257,-0.515,-0.402,-0.578,0.210356607049911
1.0,0.0,E01006805,St. Helens,1533,2.02,0.197,109.0,2.0,180478.0,Merseyside,-0.419,-0.66,-0.193,-0.296,-0.366,-0.035,0.1677470299830284
4.0,4.0,E01006806,St. Helens,1411,1.49,0.034,129.0,1.0,226773.0,Merseyside,-0.395,-0.722,0.278,-0.221,-0.402,-1.3,0.206119695512509
8.0,8.0,E01006807,St. Helens,1325,1.74,0.042,38.0,2.0,268374.0,Merseyside,-0.364,-0.693,0.702,-0.564,-0.366,-1.238,0.2591382451152786
0.0,0.0,E01006808,St. Helens,1183,1.1,0.066,24.0,1.0,146069.0,Merseyside,-0.427,-0.767,-0.544,-0.616,-0.402,-1.052,0.3513574293817993
3.0,1.0,E01006809,St. Helens,1332,1.95,0.065,53.0,1.0,172647.0,Merseyside,-0.403,-0.668,-0.273,-0.507,-0.402,-1.06,0.2618549443029812
10.0,3.0,E01006810,St. Helens,1151,0.87,0.05,92.0,1.0,177545.0,Merseyside,-0.348,-0.794,-0.223,-0.36,-0.402,-1.176,0.1365495221641481
6.0,4.0,E01006811,St. Helens,1311,1.83,0.174,131.0,2.0,146198.0,Merseyside,-0.379,-0.682,-0.542,-0.214,-0.366,-0.214,0.2436159417075172
41.0,17.0,E01006812,St. Helens,1470,4.15,0.329,261.0,10.0,111197.0,Merseyside,-0.104,-0.412,-0.899,0.275,-0.081,0.989,0.1160967860089131
6.0,6.0,E01006813,St. Helens,1450,4.62,0.21,164.0,3.0,112312.0,Merseyside,-0.379,-0.357,-0.887,-0.089,-0.33,0.066,0.1477359633186261
8.0,3.0,E01006814,St. Helens,1423,0.91,0.059,48.0,1.0,160887.0,Merseyside,-0.364,-0.789,-0.393,-0.526,-0.402,-1.106,0.1077568200750959
16.0,7.0,E01006815,St. Helens,1239,1.37,0.168,153.0,5.0,156454.0,Merseyside,-0.301,-0.736,-0.438,-0.131,-0.259,-0.26,0.1862235817861988
47.0,25.0,E01006816,St. Helens,1751,3.48,0.335,304.0,12.0,99853.0,Merseyside,-0.056,-0.49,-1.014,0.437,-0.01,1.035,0.1592276431207205
36.0,11.0,E01006817,St. Helens,1454,4.47,0.415,379.0,6.0,75849.0,Merseyside,-0.143,-0.375,-1.259,0.719,-0.223,1.656,0.1228118161925601
0.0,0.0,E01006818,St. Helens,1205,1.16,0.089,42.0,0.0,145837.0,Merseyside,-0.427,-0.76,-0.546,-0.548,-0.437,-0.873,0.2468024687117126
15.0,14.0,E01006819,St. Helens,1738,3.62,0.198,163.0,11.0,138132.0,Merseyside,-0.308,-0.474,-0.624,-0.093,-0.045,-0.028,0.232121085093939
38.0,20.0,E01006820,St. Helens,1493,4.82,0.356,258.0,8.0,117637.0,Merseyside,-0.127,-0.334,-0.833,0.264,-0.152,1.198,0.1678500202790967
36.0,18.0,E01006821,St. Helens,1482,2.9,0.405,201.0,7.0,90682.0,Merseyside,-0.143,-0.558,-1.108,0.05,-0.188,1.579,0.4745930557400496
22.0,14.0,E01006699,Liverpool,1729,13.01,0.384,238.0,12.0,87838.0,Merseyside,-0.253,0.621,-1.137,0.189,-0.01,1.416,0.1400590027740646
169.0,145.0,E01006700,Liverpool,1571,13.49,0.374,584.0,33.0,89272.0,Merseyside,0.904,0.677,-1.122,1.491,0.738,1.338,0.2144475663917339
59.0,43.0,E01006701,Liverpool,1586,14.69,0.285,344.0,18.0,119587.0,Merseyside,0.038,0.816,-0.813,0.588,0.204,0.647,0.3552280386665984
47.0,40.0,E01006702,Liverpool,1657,16.48,0.426,266.0,25.0,92768.0,Merseyside,-0.056,1.025,-1.086,0.294,0.453,1.741,0.1920441196308359
134.0,105.0,E01006703,Liverpool,1651,13.93,0.401,448.0,33.0,99191.0,Merseyside,0.629,0.728,-1.021,0.979,0.738,1.547,0.209099563874182
80.0,68.0,E01006705,Liverpool,1297,14.26,0.342,309.0,22.0,93050.0,Merseyside,0.203,0.766,-1.083,0.456,0.347,1.09,0.3787548087691264
9.0,2.0,E01006706,Liverpool,1310,4.89,0.402,105.0,6.0,117948.0,Merseyside,-0.356,-0.326,-0.83,-0.311,-0.223,1.555,0.6245996156310057
20.0,8.0,E01006591,Liverpool,1495,13.65,0.079,77.0,0.0,319315.0,Merseyside,-0.269,0.695,1.221,-0.417,-0.437,-0.951,0.2956972227936439
11.0,11.0,E01006488,Knowsley,2455,7.13,0.076,90.0,3.0,229815.0,Merseyside,-0.34,-0.065,0.309,-0.368,-0.33,-0.974,0.198839923505259
108.0,94.0,E01006647,Liverpool,2105,26.41,0.442,325.0,29.0,165458.0,Merseyside,0.424,2.182,-0.346,0.516,0.596,1.866,0.1870666106324858
4.0,3.0,E01006822,St. Helens,1507,1.73,0.058,150.0,2.0,255813.0,Merseyside,-0.395,-0.694,0.574,-0.142,-0.366,-1.114,0.1447571984696206
20.0,16.0,E01006707,Liverpool,1406,4.84,0.363,150.0,11.0,125580.0,Merseyside,-0.269,-0.331,-0.752,-0.142,-0.045,1.253,0.0675492989218479
25.0,18.0,E01006708,Liverpool,1863,6.87,0.289,278.0,49.0,158917.0,Merseyside,-0.23,-0.095,-0.413,0.339,1.308,0.678,0.3054263194461081
6.0,3.0,E01006709,Liverpool,1502,7.26,0.289,127.0,3.0,167096.0,Merseyside,-0.379,-0.049,-0.329,-0.229,-0.33,0.678,0.1370888801879405
13.0,13.0,E01006710,Liverpool,1411,5.24,0.23,69.0,8.0,116427.0,Merseyside,-0.324,-0.285,-0.845,-0.447,-0.152,0.221,0.1135778539396128
293.0,228.0,E01006711,Liverpool,1569,19.38,0.299,235.0,36.0,134185.0,Merseyside,1.881,1.363,-0.665,0.178,0.845,0.756,0.3138711214767704
25.0,13.0,E01006712,Liverpool,1226,11.42,0.213,90.0,5.0,120862.0,Merseyside,-0.23,0.435,-0.8,-0.368,-0.259,0.089,0.1465172411781539
21.0,15.0,E01006713,Liverpool,1300,11.46,0.195,97.0,7.0,123894.0,Merseyside,-0.261,0.44,-0.769,-0.342,-0.188,-0.051,0.1500396879258355
84.0,68.0,E01006716,Liverpool,1413,20.52,0.292,384.0,25.0,106609.0,Merseyside,0.235,1.496,-0.945,0.738,0.453,0.702,0.1776970714048567
57.0,51.0,E01006717,Liverpool,1383,9.04,0.162,223.0,17.0,151194.0,Merseyside,0.022,0.158,-0.491,0.132,0.168,-0.307,0.2191783415372964
6.0,6.0,E01006718,Liverpool,1542,13.62,0.242,151.0,8.0,155994.0,Merseyside,-0.379,0.692,-0.442,-0.138,-0.152,0.314,0.2066157276241931
20.0,17.0,E01006719,Liverpool,1380,7.68,0.173,165.0,10.0,141451.0,Merseyside,-0.269,-0.0,-0.591,-0.086,-0.081,-0.222,0.0714100317954707
44.0,29.0,E01006721,Liverpool,1579,26.85,0.398,483.0,17.0,91688.0,Merseyside,-0.08,2.234,-1.097,1.111,0.168,1.524,0.2173875935315871
15.0,11.0,E01006722,Liverpool,2004,28.54,0.174,227.0,4.0,150305.0,Merseyside,-0.308,2.431,-0.5,0.148,-0.295,-0.214,0.2617375563770058
38.0,26.0,E01006723,Liverpool,1950,24.56,0.21,235.0,11.0,150676.0,Merseyside,-0.127,1.967,-0.497,0.178,-0.045,0.066,0.1571844043086129
17.0,14.0,E01006724,Liverpool,1588,16.69,0.075,58.0,3.0,206043.0,Merseyside,-0.293,1.05,0.067,-0.488,-0.33,-0.982,0.120394614866689
26.0,21.0,E01006725,Liverpool,1501,21.85,0.256,177.0,13.0,121403.0,Merseyside,-0.222,1.651,-0.795,-0.041,0.026,0.422,0.2792661222340684
16.0,13.0,E01006726,Liverpool,1726,36.91,0.244,229.0,22.0,129064.0,Merseyside,-0.301,3.406,-0.717,0.155,0.347,0.329,0.1325324013397407
7.0,6.0,E01006727,Liverpool,1241,15.47,0.161,100.0,6.0,143898.0,Merseyside,-0.371,0.907,-0.566,-0.33,-0.223,-0.315,0.15331111642445
15.0,13.0,E01006728,Liverpool,1577,31.01,0.365,272.0,13.0,90859.0,Merseyside,-0.308,2.718,-1.106,0.317,0.026,1.268,0.1940428349371841
14.0,10.0,E01006729,Liverpool,1442,10.54,0.352,113.0,3.0,110477.0,Merseyside,-0.316,0.333,-0.906,-0.281,-0.33,1.167,0.050720620842572
23.0,15.0,E01006730,Liverpool,1400,8.36,0.314,202.0,8.0,117246.0,Merseyside,-0.245,0.079,-0.837,0.053,-0.152,0.872,0.1933273190849053
13.0,11.0,E01006731,Liverpool,1224,6.29,0.332,213.0,3.0,113277.0,Merseyside,-0.324,-0.162,-0.878,0.095,-0.33,1.012,0.1230598880366494
25.0,17.0,E01006732,Liverpool,1718,15.19,0.413,227.0,11.0,199442.68397291197,Merseyside,-0.23,0.875,0.0,0.148,-0.045,1.641,0.0579710144927536
9.0,6.0,E01006734,Liverpool,1445,10.8,0.38,249.0,7.0,94455.0,Merseyside,-0.356,0.363,-1.069,0.23,-0.188,1.385,0.2133307868601986
30.0,20.0,E01006735,Liverpool,1472,9.1,0.414,152.0,8.0,123335.0,Merseyside,-0.19,0.165,-0.775,-0.135,-0.152,1.648,0.1075085324232082
38.0,28.0,E01006736,Liverpool,1498,8.41,0.298,129.0,8.0,118992.0,Merseyside,-0.127,0.085,-0.819,-0.221,-0.152,0.748,0.1428917850332819
9.0,7.0,E01006737,Liverpool,1385,5.2,0.306,123.0,7.0,122804.0,Merseyside,-0.356,-0.289,-0.78,-0.244,-0.188,0.81,0.367469342032887
