StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept,StopCount_z,EthnicMinority_z,MeanHousePrice_z,CrimeSum_z,DrugCrimeSum_z,IncomeDomainScore_z,gini
29.0,12.0,E01004403,Waltham Forest,2590,49.54,0.182,430.0,15.0,551474.0,London,-0.041,0.233,-0.26,0.811,0.484,0.636,0.1401194457418256
25.0,23.0,E01004404,Waltham Forest,2857,56.88,0.191,244.0,20.0,346436.0,London,-0.093,0.625,-0.675,0.17,0.791,0.758,0.2414788261158973
116.0,46.0,E01004405,Waltham Forest,1717,50.96,0.153,160.0,9.0,705347.0,London,1.08,0.308,0.051,-0.119,0.117,0.24,0.26306859467076
12.0,11.0,E01004406,Waltham Forest,1845,41.52,0.104,176.0,12.0,498692.0,London,-0.26,-0.196,-0.367,-0.064,0.3,-0.43,0.2900967736555477
38.0,29.0,E01004407,Waltham Forest,1636,68.4,0.242,231.0,9.0,329533.0,London,0.075,1.241,-0.709,0.125,0.117,1.455,0.0696940620732922
5.0,5.0,E01004408,Waltham Forest,1731,38.65,0.149,117.0,6.0,601231.0,London,-0.351,-0.35,-0.159,-0.267,-0.067,0.185,0.1983695853060206
54.0,42.0,E01004409,Waltham Forest,1774,37.99,0.175,185.0,12.0,641268.0,London,0.281,-0.385,-0.078,-0.033,0.3,0.54,0.2931388427756305
29.0,15.0,E01004410,Waltham Forest,1849,45.65,0.24,252.0,10.0,561667.0,London,-0.041,0.025,-0.239,0.198,0.178,1.427,0.2901112507335298
43.0,26.0,E01004411,Waltham Forest,1981,42.66,0.145,260.0,7.0,591264.0,London,0.139,-0.135,-0.18,0.225,-0.006,0.13,0.2763789719821287
44.0,30.0,E01004412,Waltham Forest,1786,30.52,0.116,206.0,10.0,652886.0,London,0.152,-0.784,-0.055,0.039,0.178,-0.266,0.2897450660901533
13.0,7.0,E01004413,Waltham Forest,1540,32.27,0.19,210.0,3.0,453661.0,London,-0.248,-0.691,-0.458,0.053,-0.251,0.745,0.1399564507348938
25.0,13.0,E01004414,Waltham Forest,1813,39.44,0.129,219.0,2.0,480950.0,London,-0.093,-0.307,-0.403,0.084,-0.312,-0.088,0.1604166995501539
2.0,2.0,E01004415,Waltham Forest,1618,39.37,0.165,83.0,5.0,533156.0,London,-0.389,-0.311,-0.297,-0.384,-0.128,0.403,0.1020612209903832
19.0,16.0,E01004416,Waltham Forest,1827,33.55,0.113,117.0,8.0,527733.0,London,-0.17,-0.622,-0.308,-0.267,0.055,-0.307,0.1831970086468801
2.0,2.0,E01004417,Waltham Forest,1886,41.94,0.13,129.0,1.0,561611.0,London,-0.389,-0.174,-0.24,-0.226,-0.373,-0.075,0.2883682621030475
18.0,8.0,E01004418,Waltham Forest,1781,45.26,0.123,98.0,5.0,510706.0,London,-0.183,0.004,-0.342,-0.333,-0.128,-0.17,0.2596894031811846
50.0,38.0,E01004419,Waltham Forest,2649,53.91,0.086,300.0,3.0,399820.0,London,0.229,0.466,-0.567,0.363,-0.251,-0.675,0.2633155195286019
147.0,93.0,E01004420,Waltham Forest,2258,60.98,0.244,686.0,26.0,532529.0,London,1.48,0.844,-0.298,1.692,1.158,1.482,0.2227933714807907
32.0,21.0,E01004421,Waltham Forest,2135,71.05,0.157,153.0,4.0,544822.0,London,-0.003,1.383,-0.273,-0.143,-0.19,0.294,0.1736217401542356
