StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept
6.0,1.0,E01003384,Merton,1686,28.53,0.046,59.0,4.0,842536.0,London
5.0,3.0,E01003385,Merton,1637,30.73,0.024,45.0,2.0,1016151.0,London
22.0,5.0,E01003386,Merton,2269,61.61,0.102,132.0,6.0,415388.0,London
27.0,10.0,E01003387,Merton,2085,53.86,0.185,135.0,2.0,315280.0,London
17.0,6.0,E01003388,Merton,1727,59.53,0.188,278.0,19.0,392067.0,London
72.0,30.0,E01003389,Merton,1800,54.72,0.116,281.0,14.0,444001.0,London
14.0,10.0,E01003390,Merton,1786,71.44,0.254,224.0,10.0,,London
5.0,1.0,E01003391,Merton,1321,64.88,0.276,156.0,2.0,,London
18.0,9.0,E01003392,Merton,1416,54.73,0.098,134.0,7.0,437418.0,London
11.0,5.0,E01003393,Merton,1623,43.81,0.075,150.0,4.0,399857.0,London
7.0,7.0,E01003394,Merton,2064,55.38,0.114,146.0,4.0,569748.0,London
5.0,4.0,E01003395,Merton,1636,59.47,0.084,96.0,3.0,469686.0,London
8.0,7.0,E01003396,Merton,1507,50.9,0.082,72.0,3.0,625601.0,London
8.0,7.0,E01003397,Merton,1521,52.33,0.105,89.0,4.0,617852.0,London
41.0,20.0,E01003398,Merton,1906,58.13,0.093,161.0,7.0,551448.0,London
10.0,3.0,E01003399,Merton,1409,29.74,0.047,76.0,1.0,649115.0,London
10.0,8.0,E01003400,Merton,1461,24.3,0.029,97.0,1.0,1226841.0,London
12.0,7.0,E01003401,Merton,1408,32.67,0.038,183.0,7.0,910569.0,London
21.0,14.0,E01003402,Merton,1489,31.23,0.028,137.0,3.0,1289746.0,London
4.0,1.0,E01003403,Merton,1480,19.12,0.035,76.0,,1739320.0,London
4.0,3.0,E01003404,Merton,1831,30.15,0.06,79.0,1.0,812276.0,London
41.0,30.0,E01003405,Merton,2433,55.28,0.197,193.0,11.0,369143.0,London
11.0,4.0,E01003406,Merton,1688,46.68,0.175,81.0,2.0,394855.0,London
47.0,28.0,E01003407,Merton,1947,44.63,0.096,172.0,5.0,292983.0,London
41.0,27.0,E01003408,Merton,1950,32.36,0.079,130.0,1.0,400856.0,London
13.0,12.0,E01003409,Merton,1799,58.48,0.17,138.0,6.0,455623.0,London
12.0,7.0,E01003410,Merton,1630,48.28,0.175,96.0,,342059.0,London
45.0,36.0,E01003330,Lewisham,1592,49.31,0.229,138.0,3.0,697086.0,London
8.0,4.0,E01003414,Merton,1725,61.8,0.091,121.0,6.0,508497.0,London
5.0,1.0,E01003277,Lewisham,1672,36.48,0.135,64.0,2.0,674838.0,London
9.0,1.0,E01003177,Lambeth,1603,43.92,0.138,272.0,5.0,594878.0,London
13.0,7.0,E01003331,Lewisham,1523,44.91,0.183,105.0,6.0,438871.0,London
9.0,8.0,E01003332,Lewisham,1598,45.74,0.17,107.0,1.0,402261.0,London
20.0,15.0,E01003333,Lewisham,1534,44.26,0.131,178.0,6.0,530262.0,London
31.0,16.0,E01003334,Lewisham,1786,48.43,0.176,341.0,12.0,388782.0,London
8.0,5.0,E01003335,Lewisham,1516,49.54,0.246,190.0,4.0,610643.0,London
19.0,11.0,E01003336,Lewisham,1529,67.76,0.276,161.0,5.0,513432.0,London
58.0,22.0,E01003337,Lewisham,1436,73.19,0.238,164.0,8.0,311455.0,London
9.0,2.0,E01003338,Lewisham,2026,68.66,0.216,287.0,18.0,404052.0,London
12.0,8.0,E01003339,Lewisham,1688,53.73,0.156,132.0,4.0,585634.0,London
1.0,1.0,E01003340,Lewisham,2068,34.09,0.095,132.0,1.0,735042.0,London
5.0,5.0,E01003341,Lewisham,1381,31.28,0.104,101.0,5.0,952718.0,London
17.0,6.0,E01003342,Lewisham,1696,40.68,0.104,96.0,3.0,549772.0,London
5.0,3.0,E01003343,Lewisham,1455,38.08,0.143,142.0,1.0,654410.0,London
11.0,6.0,E01003344,Lewisham,1678,41.66,0.136,130.0,4.0,590709.0,London
34.0,12.0,E01003345,Lewisham,1958,44.64,0.119,138.0,9.0,562985.0,London
35.0,21.0,E01003346,Lewisham,1668,55.22,0.215,192.0,7.0,424061.0,London
8.0,6.0,E01003347,Lewisham,1748,67.79,0.334,292.0,5.0,298642.0,London
29.0,21.0,E01003415,Merton,2390,59.5,0.143,223.0,9.0,477225.0,London
65.0,35.0,E01003348,Lewisham,1790,63.3,0.156,116.0,2.0,411044.0,London
65.0,37.0,E01003278,Lewisham,2082,52.55,0.173,205.0,11.0,552837.0,London
12.0,5.0,E01003416,Merton,1584,55.68,0.095,100.0,3.0,450374.0,London
9.0,6.0,E01003349,Lewisham,1547,49.77,0.207,79.0,2.0,369441.0,London
22.0,14.0,E01003279,Lewisham,1528,33.97,0.093,102.0,2.0,678010.0,London
